126.0 42.0
126.0 45.0
125.0 48.0
124.0 51.0
123.0 54.0
121.0 57.0
119.0 59.0
117.0 61.0
114.0 63.0
112.0 65.0
109.0 66.0
106.0 67.0
103.0 67.0
99.0 67.0
96.0 67.0
93.0 66.0
90.0 65.0
88.0 63.0
85.0 61.0
83.0 59.0
81.0 57.0
79.0 54.0
78.0 51.0
77.0 48.0
76.0 45.0
76.0 42.0
76.0 39.0
77.0 36.0
78.0 33.0
79.0 30.0
81.0 27.0
83.0 25.0
85.0 23.0
88.0 21.0
90.0 19.0
93.0 18.0
96.0 17.0
99.0 17.0
103.0 17.0
106.0 17.0
109.0 18.0
112.0 19.0
114.0 21.0
117.0 23.0
119.0 25.0
121.0 27.0
123.0 30.0
124.0 33.0
125.0 36.0
126.0 39.0
169.0 47.0
288.0 213.0
292.0 284.0
160.0 68.0
95.0 210.0
58.0 123.0
286.0 197.0
250.0 34.0
51.0 232.0
140.0 104.0
10.0 100.0
203.0 174.0
71.0 37.0
72.0 118.0
68.0 296.0
117.0 270.0
139.0 285.0
239.0 126.0
132.0 5.0
97.0 184.0
80.0 209.0
124.0 215.0
182.0 245.0
141.0 245.0
69.0 106.0
155.0 76.0
265.0 180.0
178.0 179.0
261.0 281.0
292.0 128.0
